BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;27.04.2011;Индекс МосБиржи;Индекс МосБиржи;1744,95;1766,28;1775,6;1738,66;49189146161;;;2;;RUB;;3;
SNDX;IMOEX;28.04.2011;Индекс МосБиржи;Индекс МосБиржи;1749,65;1745,87;1766,96;1731,62;51080294534;;;2;;RUB;;3;
SNDX;IMOEX;29.04.2011;Индекс МосБиржи;Индекс МосБиржи;1741,84;1749,01;1749,01;1723,44;31743747792;;;2;;RUB;;3;
SNDX;IMOEX;03.05.2011;Индекс МосБиржи;Индекс МосБиржи;1691,45;1741,82;1747,22;1689,65;45489424954;;;2;;RUB;;3;
SNDX;IMOEX;04.05.2011;Индекс МосБиржи;Индекс МосБиржи;1657,54;1691,45;1698,29;1650,08;72746110203;;;2;;RUB;;3;
SNDX;IMOEX;05.05.2011;Индекс МосБиржи;Индекс МосБиржи;1644,92;1657,55;1673,6;1627,45;65846460687;;;2;;RUB;;3;
SNDX;IMOEX;06.05.2011;Индекс МосБиржи;Индекс МосБиржи;1681,01;1644,92;1681,57;1621,9;70586091977;;;2;;RUB;;3;
SNDX;IMOEX;10.05.2011;Индекс МосБиржи;Индекс МосБиржи;1678,13;1680,91;1687,72;1667,08;53184319042;;;2;;RUB;;3;
SNDX;IMOEX;11.05.2011;Индекс МосБиржи;Индекс МосБиржи;1654,78;1678,27;1693,83;1652,3;51570169263;;;2;;RUB;;3;
SNDX;IMOEX;12.05.2011;Индекс МосБиржи;Индекс МосБиржи;1630,78;1654,77;1654,77;1616,52;61573249741;;;2;;RUB;;3;
SNDX;IMOEX;13.05.2011;Индекс МосБиржи;Индекс МосБиржи;1632,23;1630,79;1646,44;1626,38;45561848921;;;2;;RUB;;3;
SNDX;IMOEX;16.05.2011;Индекс МосБиржи;Индекс МосБиржи;1622,98;1632,12;1632,12;1604,91;48566965534;;;2;;RUB;;3;
SNDX;IMOEX;17.05.2011;Индекс МосБиржи;Индекс МосБиржи;1608,66;1623,05;1631,5;1603,08;46789425790;;;2;;RUB;;3;
SNDX;IMOEX;18.05.2011;Индекс МосБиржи;Индекс МосБиржи;1627,03;1608,67;1633,8;1608,36;41087915701;;;2;;RUB;;3;
SNDX;IMOEX;19.05.2011;Индекс МосБиржи;Индекс МосБиржи;1630,72;1627,03;1647,05;1616,81;47276065552;;;2;;RUB;;3;
SNDX;IMOEX;20.05.2011;Индекс МосБиржи;Индекс МосБиржи;1603,97;1630,74;1641,58;1600,87;47565006196;;;2;;RUB;;3;
SNDX;IMOEX;23.05.2011;Индекс МосБиржи;Индекс МосБиржи;1573,14;1603,97;1603,97;1569,54;46338526273;;;2;;RUB;;3;
